schema_version,frame_index,engine_time_seconds,frame_time_milliseconds,value,quality,age_evidence
1,0,0.000000000,0.000000,1.0133876644012532,valid,measured
1,1,0.000116745,0.116745,1.0133876644012532,valid,measured
1,2,0.044929532,44.812787,1.0133876644012532,valid,measured
1,3,0.060609063,15.679531,1.0133876644012532,valid,measured
1,4,0.064866563,4.257500,1.0133876644012532,valid,measured
1,5,0.071699011,6.832448,1.0133876644012532,valid,measured
1,6,0.091884089,20.185078,1.0133876644012532,valid,measured
1,7,0.107593256,15.709167,1.6136407036366198,valid,measured
1,8,0.123198907,15.605651,1.6136407036366198,valid,measured
1,9,0.140056537,16.857630,1.6136407036366198,valid,measured
1,10,0.153857448,13.800912,1.6136407036366198,valid,measured
1,11,0.162077395,8.219947,1.6136407036366198,valid,measured
1,12,0.181384791,19.307395,1.6136407036366198,valid,measured
1,13,0.199674765,18.289974,1.6136407036366198,valid,measured
1,14,0.215378489,15.703725,2.2451214903844541,valid,measured
1,15,0.231124010,15.745521,2.2451214903844541,valid,measured
1,16,0.246835677,15.711667,2.2451214903844541,valid,measured
1,17,0.262387734,15.552057,2.2451214903844541,valid,measured
1,18,0.273919869,11.532135,2.2451214903844541,valid,measured
1,19,0.289896693,15.976824,2.2451214903844541,valid,measured
1,20,0.307108881,17.212188,2.8021024228416724,valid,measured
1,21,0.323914088,16.805207,2.8021024228416724,valid,measured
1,22,0.340962343,17.048255,2.8021024228416724,valid,measured
1,23,0.358373463,17.411120,2.8021024228416724,valid,measured
1,24,0.375186928,16.813464,2.8021024228416724,valid,measured
1,25,0.391309896,16.122969,2.8021024228416724,valid,measured
1,26,0.405985652,14.675755,3.4350898113782922,valid,measured
1,27,0.416106095,10.120443,3.4350898113782922,valid,measured
1,28,0.432974298,16.868204,3.4350898113782922,valid,measured
1,29,0.451974611,19.000312,3.4350898113782922,valid,measured
1,30,0.469631356,17.656745,3.4350898113782922,valid,measured
1,31,0.486213570,16.582213,3.4350898113782922,valid,measured
1,32,0.501945575,15.732005,4.0911358047911177,valid,measured
1,33,0.516577502,14.631927,4.0911358047911177,valid,measured
1,34,0.532511615,15.934113,4.0911358047911177,valid,measured
1,35,0.548228179,15.716564,4.0911358047911177,valid,measured
1,36,0.565202788,16.974609,4.0911358047911177,valid,measured
1,37,0.581436695,16.233906,4.0911358047911177,valid,measured
1,38,0.596475287,15.038593,4.0911358047911177,valid,measured
1,39,0.607320471,10.845183,4.647075213249023,valid,measured
1,40,0.623863049,16.542578,4.647075213249023,valid,measured
1,41,0.638209376,14.346328,4.647075213249023,valid,measured
1,42,0.647500418,9.291042,4.647075213249023,valid,measured
1,43,0.665041042,17.540624,4.647075213249023,valid,measured
1,44,0.683210105,18.169062,4.647075213249023,valid,measured
1,45,0.700050939,16.840834,5.2074425040071173,valid,measured
1,46,0.717193359,17.142421,5.2074425040071173,valid,measured
1,47,0.733750729,16.557369,5.2074425040071173,valid,measured
1,48,0.750137214,16.386485,5.2074425040071173,valid,measured
1,49,0.766613776,16.476562,5.2074425040071173,valid,measured
1,50,0.781981952,15.368177,5.2074425040071173,valid,measured
1,51,0.799075287,17.093334,5.2074425040071173,valid,measured
1,52,0.815193359,16.118072,5.8569847148702099,valid,measured
1,53,0.832059870,16.866511,5.8569847148702099,valid,measured
1,54,0.848086119,16.026249,5.8569847148702099,valid,measured
1,55,0.865001068,16.914949,5.8569847148702099,valid,measured
