schema_version,frame_index,engine_time_seconds,frame_time_milliseconds,value,quality,age_evidence
1,0,0.000000000,0.000000,1.0133876644012532,valid,measured
1,1,0.000101849,0.101849,1.0133876644012532,valid,measured
1,2,0.080210886,80.109037,1.0133876644012532,valid,measured
1,3,0.088399427,8.188541,1.0133876644012532,valid,measured
1,4,0.093297345,4.897917,1.0133876644012532,valid,measured
1,5,0.102450340,9.152995,1.0136407036366197,valid,measured
1,6,0.106784455,4.334115,1.0136407036366197,valid,measured
1,7,0.120129455,13.345000,1.0136407036366197,valid,measured
1,8,0.142671617,22.542162,1.0136407036366197,valid,measured
1,9,0.155019065,12.347448,1.0136407036366197,valid,measured
1,10,0.171503804,16.484739,1.0136407036366197,valid,measured
1,11,0.188483856,16.980052,1.0136407036366197,valid,measured
1,12,0.205654403,17.170547,1.0451214903844539,valid,measured
1,13,0.222638413,16.984010,1.0451214903844539,valid,measured
1,14,0.239556511,16.918099,1.0451214903844539,valid,measured
1,15,0.256188491,16.631979,1.0451214903844539,valid,measured
1,16,0.273357631,17.169140,1.0451214903844539,valid,measured
1,17,0.289739193,16.381562,1.0451214903844539,valid,measured
1,18,0.306463047,16.723854,1.0021024228416726,valid,measured
1,19,0.323082918,16.619870,1.0021024228416726,valid,measured
1,20,0.339564714,16.481796,1.0021024228416726,valid,measured
1,21,0.356265053,16.700339,1.0021024228416726,valid,measured
1,22,0.372698750,16.433697,1.0021024228416726,valid,measured
1,23,0.389080338,16.381588,1.0021024228416726,valid,measured
1,24,0.406198801,17.118463,1.035089811378292,valid,measured
1,25,0.421975078,15.776277,1.035089811378292,valid,measured
1,26,0.438483020,16.507942,1.035089811378292,valid,measured
1,27,0.454694375,16.211355,1.035089811378292,valid,measured
1,28,0.471289349,16.594974,1.035089811378292,valid,measured
1,29,0.487850522,16.561173,1.035089811378292,valid,measured
1,30,0.504367450,16.516928,1.0911358047911177,valid,measured
1,31,0.521000653,16.633203,1.0911358047911177,valid,measured
1,32,0.537407606,16.406953,1.0911358047911177,valid,measured
1,33,0.553886095,16.478488,1.0911358047911177,valid,measured
1,34,0.570895914,17.009819,1.0911358047911177,valid,measured
1,35,0.587218908,16.322995,1.0911358047911177,valid,measured
1,36,0.607506226,20.287318,1.0470752132490233,valid,measured
1,37,0.624192997,16.686771,1.0470752132490233,valid,measured
1,38,0.638123491,13.930494,1.0470752132490233,valid,measured
1,39,0.654954690,16.831199,1.0470752132490233,valid,measured
1,40,0.672367919,17.413229,1.0470752132490233,valid,measured
1,41,0.688521200,16.153282,1.0470752132490233,valid,measured
1,42,0.705431904,16.910704,1.0074425040071167,valid,measured
1,43,0.722508233,17.076328,1.0074425040071167,valid,measured
1,44,0.739445524,16.937291,1.0074425040071167,valid,measured
1,45,0.757770653,18.325130,1.0074425040071167,valid,measured
1,46,0.773576045,15.805392,1.0074425040071167,valid,measured
1,47,0.789849873,16.273828,1.0074425040071167,valid,measured
1,48,0.807854039,18.004166,1.0569847148702096,valid,measured
1,49,0.823648624,15.794585,1.0569847148702096,valid,measured
1,50,0.839972451,16.323827,1.0569847148702096,valid,measured
1,51,0.857357243,17.384792,1.0569847148702096,valid,measured
1,52,0.874314507,16.957264,1.0569847148702096,valid,measured
1,53,0.888715314,14.400807,1.0569847148702096,valid,measured
1,54,0.906836175,18.120861,1.0635231218313737,valid,measured
1,55,0.922246175,15.410000,1.0635231218313737,valid,measured
1,56,0.938675108,16.428933,1.0635231218313737,valid,measured
1,57,0.955800994,17.125886,1.0635231218313737,valid,measured
1,58,0.971696672,15.895678,1.0635231218313737,valid,measured
1,59,0.988068337,16.371666,1.0635231218313737,valid,measured
1,60,1.004382922,16.314585,1.0089453193644655,valid,measured
1,61,1.020579640,16.196718,1.0089453193644655,valid,measured
1,62,1.037905474,17.325833,1.0089453193644655,valid,measured
1,63,1.055663573,17.758099,1.0089453193644655,valid,measured
1,64,1.072063936,16.400363,1.0089453193644655,valid,measured
1,65,1.088532296,16.468359,1.0089453193644655,valid,measured
1,66,1.106620759,18.088464,1.0556178899122379,valid,measured
1,67,1.122554120,15.933361,1.0556178899122379,valid,measured
